tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_sites	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	contact_test	continent_ocean	country	description
central North Greenland	Region	Central North Greenland (Victoria Fjord) dolerite dykes ca. 1382 Ma pole	a	g	D1:D2:D3:D4:D5:D6:D7:D8:D9	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:ST-C	10.1111/j.1365-246X.1987.tb01660.x:10.1007/s00410-004-0634-7	Intrusive	Diabase	81.5	81.5	315.3	315.3	1382	1380	1384	Ma	0	265.2	25.2	5.6	84.1	9	12.5	232.2	4.6	124.5	9	0	C+	Greenland	Greenland	Paleomagnetic pole for a swarm of ca. 1382 Ma dolerite dykes cutting Archaean crystalline basement on nunataks at the head of Victoria Fjord, central North Greenland (Abrahamsen & Van der Voo, 1987). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles from the nine accepted dykes (a tenth dyke, oriented by magnetic compass under overcast, gave an anomalous direction and is excluded). The single-polarity characteristic remanence, carried by Ti-poor titanomagnetite, was isolated by alternating-field and thermal demagnetization. A detailed positive baked-contact test supports a primary origin: baked gneiss and quartz-diorite within roughly one dyke-width of the contact carry the dyke direction, whereas unbaked gneiss at 60 m retains a pre-dyke direction. The swarm is petrographically correlated with, and antiparallel in polarity to, the Midsommerso Dolerites and Zig-Zag Dal Basalts of eastern North Greenland, and the pole is used in the reconstructed Laurentia frame after rotating Greenland to North America. The age is adopted by correlation with the U-Pb baddeleyite-dated eastern North Greenland magmatism (Upton et al., 2005); the paper infers ca. 1250 Ma from Rb-Sr on the correlative intrusives.
>>>>>>>>>>
tab delimited	sites
site	location	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	description	dir_polarity	result_type	vgp_lat	vgp_lon	vgp_dp	vgp_dm
D1	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	265.0	21.0	7.6	41.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	10.0	231.9	4.2	8.0
D2	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	264.0	29.0	7.9	38.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	14.4	233.6	4.8	8.7
D3	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	273.0	20.0	4.4	121.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	10.6	223.9	2.4	4.6
D4	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	268.0	21.0	5.5	150.0	6.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	10.4	228.9	3.0	5.8
D5	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	274.0	14.0	1.6	1807.0	6.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	7.6	222.4	0.8	1.6
D6	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	267.0	28.0	4.6	149.0	8.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	14.3	230.5	2.8	5.0
D7	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	258.0	29.0	6.1	72.0	9.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	13.6	239.4	3.7	6.7
D8	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	260.0	37.0	6.9	56.0	5.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	18.9	238.3	4.7	8.1
D9	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	256.0	27.0	6.2	152.0	5.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	i	12.1	241.2	3.7	6.7
D10	central North Greenland	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Intrusive	Volcanic Dike	Diabase	81.5	315.3	1382	1380	1384	Ma	0	46.0	30.0	18.5	10.0	8.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology, was not used for mean pole 	r	i	21.9	87.2	11.4	20.5
