tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lon	vgp_lat	vgp_dp	vgp_dm
A6_2-21B	southern Superior Province	i	g	LP-DIR-AF:ST-C:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Baked Contact	Diabase	48.553	279.425	2452.0	1.0	Ma	0	295.3	75.6	1.6	3333.0	4		Baked host rock for site 21 (dyke A6 unit 2): age from Heaman and Tarney 1989	236.4	52.8	2.7	2.9
A6_2-21U	southern Superior Province	i	g	LP-DIR-AF:ST-C:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Diabase	Diabase	48.553	279.425	2452.0	1.0	Ma	0	212.9	-9.2	7.5	150.0	4		Unbaked host rock for site 21 (dyke A6 unit 2): location here is from site 21B: age from Heaman and Tarney 1989	236.1	-37.9	3.8	7.6
A6_2-22	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.562	279.447	1140.6	1.0	Ma	0	328.8	71.6	7.1	169.0	4	n	Dyke A6, unit 2: age from Krogh et al. 1987	223.8	69.7	10.9	12.5
A6_2-23	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.888	280.495	1140.6	1.0	Ma	0	300.2	75.3	4.9	244.0	5	n	Dyke A6, unit 2: age from Krogh et al. 1987	235.8	55.2	8.2	9.0
A6_2-24	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.918	280.582	1140.6	1.0	Ma	0	292.8	68.7	6.0	39.0	16	n	Dyke A6, unit 2: age from Krogh et al. 1987	221.4	48.7	8.6	10.2
A6_1-25	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	49.585	282.898	1140.6	1.0	Ma	0	276.0	51.1	5.5	277.0	4	n	Dyke A6, unit 1: age from Krogh et al. 1987	210.8	27.3	5.0	7.4
A6_1-26	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	49.88	284.22	1140.6	1.0	Ma	0	283.1	55.3	2.9	547.0	6	n	Dyke A6, unit 1: age from Krogh et al. 1987	210.9	34.5	2.9	4.1
A7-27	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	47.075	276.255	1140.6	1.0	Ma	0	146.3	-78.1	5.1	223.0	5	r	Dyke A7: age from Krogh et al. 1987	67.4	-63.5	9.0	9.6
A7-28	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	47.075	276.255	1140.6	1.0	Ma	0	157.9	-83.4	3.3	345.0	7	r	Dyke A7: age from Krogh et al. 1987	86.8	-58.8	6.3	6.5
A8-29	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.151	280.852	1140.6	1.0	Ma	0	268.9	64.6	5.4	288.0	4	n	Dyke A8: age from Krogh et al. 1987	226.5	32.1	7.0	8.7
