site,n,dec,inc,r,k
4,4,277,-8,,
P2,8,270,-3,,
P3,2,271,-1,,
P4,6,278,9,,
P5,5,270,-6,,
P13,9,270,2,,
23,10,279,8,,
P22,2,280,9,,
P24,7,273,2,,
13,8,276,5,,
15,8,258,-1,,
18,10,259,7,,
P38,4,276,-1,,
P39,5,277,-4,,
P40,6,262,-7,,
24,7,280,8,,
26,6,280,3,,
