tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	bed_dip_direction	bed_dip	dir_comp_name	description
MB1	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	69.8669	309.3799	1622	1635	Ma	0	39.3	-44.5	64.0	7.0	8.0	10.1	274.1	5.5	8.8	75	90.0	primary	7.5 m wide; 345 strike; 90 dip; SW-directed (reverse polarity); secondary: DEC'=33.1, INC'=-40.1
MB2	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM:GM-UPB-CC	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	69.8984	309.5521	1629	1629	Ma	0	26.9	-14.9	62.0	11.7	4.0	-10.4	282.5	6.2	12.0	45	80.0	primary	110 m wide; NW strike; >80SW dip; NNE-directed (normal polarity); U-Pb 1629.4 Â± 0.8 Ma; secondary: DEC'=22.2, INC'=-7
MB3	Melville Bugt	i	b	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	69.2668	308.9625	1622	1635	Ma	0	33.7	47.5	26.0	13.5	6.0					60	90.0	secondary	50 m wide; 330 strike; 90 dip; no primary component; secondary of unknown origin
MB4	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	74.4829	303.6652	1622	1635	Ma	0	30.3	-29.3	72.0	9.1	5.0	2.2	274.6	5.5	10.0	45	90.0	primary	60 m wide; NW strike; 90 dip; SW-directed (reverse polarity); secondary: DEC'=31.6, INC'=-28.3
MB5	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	74.5579	303.7798	1622	1635	Ma	0	209.1	46.6	186.0	4.9	6.0	14.2	277.5	4.1	6.3	225	80.0	primary	50 m wide; 308 strike; 80SW dip; NNE-directed (normal polarity); secondary: DEC'=210.3, INC'=46
MB6	Melville Bugt	i	b	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	74.5834	302.974	1622	1635	Ma	0	204.7	-70.7	66.0	15.3	3.0					70	90.0	secondary	55 m wide; 340 strike; 90 dip; no primary component; possible Tertiary volcanic overprint
MB7	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	74.2886	303.7271	1622	1635	Ma	0	51.9	-8.5	64.0	9.6	5.0	-5.4	251.7	4.9	9.7	45	90.0	primary	70 m wide; NW strike; 90 dip; SW-directed (reverse polarity); secondary: DEC'=53.1, INC'=-7.2
MB8	Melville Bugt	i	b	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM:LT-LT-Z	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	74.1068	303.3269	1622	1635	Ma	0	154.9	89.2	166.0	5.2	6.0					45	90.0	PEF	45 m wide; 315 strike; 90 dip; present-Earth-field overprint; liquid nitrogen demagnetization unsuccessful
MB9	Melville Bugt	i	g	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM:GM-UPB-CC	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	73.9129	304.0582	1635	1635	Ma	0	201.2	50.1	142.0	5.6	6.0	15.7	285.2	5.0	7.5	50	90.0	primary	135 m wide; 320 strike; 90 dip; NNE-directed (normal polarity); U-Pb 1635.0 Â± 2.7 Ma; secondary: DEC'=202.1, INC'=48.8
MB11	Melville Bugt	i	b	LP-DIR-AF:LP-DIR-T:LP-DC4:DE-BFL:DE-FM:FS-FD:SO-SM	10.1007/978-3-642-12496-9_27	Igneous	Volcanic Dike	Diabase	73.0373	304.3381	1622	1635	Ma	0	226.2	-41.4	16.0	17.5	6.0					225	80.0	secondary	45 m wide; 325 strike; 80SW dip; no primary component
