tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
1	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Igneous	Layered Intrusion	Olivine Gabbro	54.4138856917959	296.272720015976	1469	1	Ma	0	249.0	16.0	3.83	400.0	5	-5.2	228.2	2.0	3.9	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 18 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
2	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Igneous	Layered Intrusion	Olivine Gabbro	54.4083810833371	296.2543294023	1469	1	Ma	0	255.0	19.0	7.69	100.0	5	-0.6	224.1	4.2	8.0	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 19 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
3	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Igneous	Layered Intrusion	Anorthosite	54.2931547990641	295.9829366021	1469	1	Ma	0	262.0	-1.0	25.19	25.0	3	-5.1	212.2	12.6	25.2	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 23 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
4	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Igneous	Layered Intrusion	Anorthosite	54.2800956321692	295.9279651966	1469	1	Ma	0	253.0	3.0	33.9	14.286	3	-8.6	220.7	17.0	33.9	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 24 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
5	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Igneous	Layered Intrusion	Anorthosite	54.3467397573153	295.9431539136	1469	1	Ma	0	261.0	25.0	17.05	30.0	4	5.5	220.9	9.8	18.3	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 25 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
6	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e76-108	Metamorphic	Baked Contact	Gneiss	54.3745175103743	296.30266452	1469	1	Ma	0	262.0	13.0	19.72	16.0	5	0.7	216.6	10.3	20.1	Results from Fraser lake, from Michikamau intrusion. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 13 in Emslie et al. (1976). No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
7	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e68-111	Igneous	Layered Intrusion	Anorthosite	54.2814	296.273	1469	1	Ma	0	256.0	18.5	6.0	91.1	6	-0.3	223.1	3.8	7.3	From Murthy et al. 1968. No direct latitude/longitude values given, estimated from map and Emslie et al. 1976. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 1 in Murthy et al. (1968). Igneous layering and lamination gives strike of 34Âº and dip of 35ÂºNW. No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
8	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e68-111	Igneous	Layered Intrusion	Anorthosite	54.3727	295.927	1469	1	Ma	0	262.5	6.5	16.0	15.3	5	-1.7	213.9	10.2	20.3	From Murthy et al. 1968. No direct latitude/longitude values given, estimated from map and Emslie et al. 1976. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 2 in Murthy et al. (1968). Igneous layering and lamination gives strike of 126Âº and dip of 20ÂºNE. No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
9	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e68-111	Igneous	Layered Intrusion	Anorthosite	54.57	296.108	1469	1	Ma	0	259.5	22.5	26.0	5.75	5	3.5	221.4	19.6	37.0	From Murthy et al. 1968. No direct latitude/longitude values given, estimated from map and Emslie et al. 1976. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 3 in Murthy et al. (1968). Igneous layering and lamination gives strike of 86Âº and dip of 30ÂºSE. No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
10	Michikamau Intrusion	i	g	LP-DIR-AF:DE-FM:DE-BFL:DE-DI	10.1139/e68-111	Igneous	Layered Intrusion	Anorthosite	54.52	296.023	1469	1	Ma	0	267.5	-2.5	14.0	25.6	4	-2.5	207.3	9.3	18.5	From Murthy et al. 1968. No direct latitude/longitude values given, estimated from map and Emslie et al. 1976. Age of the intrusion is updated with modern U-Pb age from Kerr & McNicoll (2010). There is no DOI for Kerr & McNicoll (2010) and the citation is Kerr, A., and McNicoll, V., âU-Pb ages from mafic rocks associated with orthomagmatic Ni-Cu-Co mineralization in west-central Labrador.â Newfoundland Department of Natural Resources, Geological Survey, Report 2010-1, 23-41, sample KC-Z-08-01. Site renamed from original for clarity; Site 4 in Murthy et al. (1968). Igneous layering and lamination gives strike of 138Âº and dip of 25ÂºNE. No tilt correction needed as magnetization likely acquired with the rocks in their present attitudes.
