tab	site
citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	vgp_lat	vgp_lon	bedding_dip_dir	bedding_dip	relative height	height
This study	10.0	279.6	15.6	37.2	7	n	100	Extrusive	Lava Flow	46.93	Basalt	Keweenaw Peninsula	-88.83	LT-T-Z	a	H_PL26	12.34478967	179.6307844	312.66414382971305	49.805804698429604	1254.7671085494278	2343.3728914505728
This study	2.9	288.8	42.9	321.8	9	n	100	Extrusive	Lava Flow	46.81	Basalt	Keweenaw Peninsula	-89.0	LT-T-Z	a	H_PL28	30.48029747	186.0132101	312.66414382971305	49.805804698429604	1416.7046333803323	2181.435366619668
This study	20.7	301.5	26.9	20.7	4	n	100	Extrusive	Lava Flow	46.78	Basalt	Keweenaw Peninsula	-89.05	LT-T-Z	a	H_PL29	31.73568716	167.3008112	312.66414382971305	49.805804698429604	2158.8304160904527	1439.3095839095477
This study	13.5	301.0	-4.5	21.0	7	n	100	Extrusive	Lava Flow	46.77	Basalt	Keweenaw Peninsula	-89.1	LT-T-Z	a	H_PL30	18.89545043	155.7623006	312.66414382971305	49.805804698429604	1779.58734316367	1818.5526568363302
This study	9.2	268.0	36.0	43.6	7	n	100	Extrusive	Lava Flow	46.7	Basalt	Keweenaw Peninsula	-89.23	LT-T-Z	a	H_PL31	13.06135812	196.1305013	312.66414382971305	49.805804698429604	3174.4792807692065	423.6607192307938
This study	16.7	301.9	20.4	31.4	4	n	100	Extrusive	Lava Flow	46.66	Basalt	Keweenaw Peninsula	-89.39	LT-T-Z	a	H_PL32	29.30962414	163.7859414	312.66414382971305	49.805804698429604	6039.392386590781	423.6607192307938
This study	7.8	302.8	40.8	51.9	8	n	100	Extrusive	Lava Flow	47.28	Basalt	Keweenaw Peninsula	-88.41	LT-T-Z	a	H_PL01	38.94260295	174.4573579	302.39833845252116	42.12819708834338	1651.6494350293135	2961.3505649706867
This study	11.8	291.5	32.3	23.2	8	n	100	Extrusive	Lava Flow	47.3	Basalt	Keweenaw Peninsula	-88.4	LT-T-Z	a	H_PL02	27.28936333	178.2176279	302.39833845252116	42.12819708834338	1222.7435387722314	3390.2564612277683
This study	7.0	274.3	45.7	63.4	8	n	100	Extrusive	Lava Flow	47.31	Basalt	Keweenaw Peninsula	-88.38	LT-T-Z	a	H_PL03	22.35961874	197.9566808	302.39833845252116	42.12819708834338	1569.7418684938812	3043.258131506119
This study	10.4	270.3	26.7	34.7	7	n	100	Extrusive	Lava Flow	47.31	Basalt	Keweenaw Peninsula	-88.38	LT-T-Z	a	H_PL04	10.52725562	191.0819957	302.39833845252116	42.12819708834338	1569.7418684938812	3043.258131506119
This study	13.8	302.6	22.2	20.1	7	n	100	Extrusive	Lava Flow	47.32	Basalt	Keweenaw Peninsula	-88.37	LT-T-Z	a	H_PL06	30.3205315	164.6181262	302.39833845252116	42.12819708834338	1642.2724602591284	2970.7275397408716
This study	7.2	276.0	41.1	71.4	7	n	100	Extrusive	Lava Flow	47.19	Basalt	Keweenaw Peninsula	-88.48	LT-T-Z	a	H_PL08	21.0025186	193.9787877	302.39833845252116	42.12819708834338	2242.950620965927	2370.049379034073
This study	10.9	291.0	40.9	50.2	5	n	100	Extrusive	Lava Flow	47.34	Basalt	Keweenaw Peninsula	-88.34	LT-T-Z	a	H_PL11	31.0050825	183.4979812	302.39833845252116	42.12819708834338	2256.6665270388075	2356.3334729611925
This study	14.0	316.2	49.8	30.6	5	n	100	Extrusive	Lava Flow	47.14	Basalt	Keweenaw Peninsula	-88.58	LT-T-Z	a	H_PL12	52.73019924	171.0543062	302.39833845252116	42.12819708834338	287.78865273119936	4325.211347268801
This study	11.7	283.1	18.6	23.3	8	n	100	Extrusive	Lava Flow	47.08	Basalt	Keweenaw Peninsula	-88.64	LT-T-Z	a	H_PL19	15.88575743	178.3396399	302.39833845252116	42.12819708834338	1074.9757561987087	3538.024243801291
This study	5.5	304.9	26.5	77.6	10	n	100	Extrusive	Lava Flow	47.11	Basalt	Keweenaw Peninsula	-88.58	LT-T-Z	a	H_PL24	33.71464012	164.4980914	302.39833845252116	42.12819708834338	1401.8848095403714	3211.1151904596286
This study	12.3	310.3	46.1	25.1	7	n	100	Extrusive	Lava Flow	47.06	Basalt	Keweenaw Peninsula	-88.66	LT-T-Z	a	H_PL25	46.76185861	172.4318871	302.39833845252116	42.12819708834338	1556.4913904636608	3056.5086095363395
This study	8.0	306.4	15.5	71.1	6	n	100	Extrusive	Lava Flow	47.43	Basalt	Keweenaw Peninsula	-88.21	LT-T-Z	a	H_PL07	29.91984142	158.695772	351.6450099056112	42.643885785560364	315.33188548236643	5450.9181145176335
This study	13.3	296.5	35.8	34.2	5	n	100	Extrusive	Lava Flow	47.39	Basalt	Keweenaw Peninsula	-88.03	LT-T-Z	a	H_PL10	32.26466429	176.5915444	351.6450099056112	42.643885785560364	4650.535752027039	1115.714247972961
This study	12.6	270.0	39.6	23.9	7	n	100	Extrusive	Lava Flow	47.39	Basalt	Keweenaw Peninsula	-88.27	LT-T-Z	a	H_PL13	16.33850208	197.3740203	351.6450099056112	42.643885785560364	2156.938715015583	3609.311284984417
This study	5.4	288.9	28.8	93.1	9	n	100	Extrusive	Lava Flow	47.43	Basalt	Keweenaw Peninsula	-87.98	LT-T-Z	a	H_PL14	23.98415413	178.837921	351.6450099056112	42.643885785560364	1466.1584051437148	4300.091594856285
This study	4.9	280.3	44.0	128.1	8	n	100	Extrusive	Lava Flow	47.42	Basalt	Keweenaw Peninsula	-88.1	LT-T-Z	a	H_PL15	25.41123745	193.1128413	351.6450099056112	42.643885785560364	2087.218389562729	3679.031610437271
This study	4.4	280.2	27.0	159.5	8	n	100	Extrusive	Lava Flow	47.4	Basalt	Keweenaw Peninsula	-88.28	LT-T-Z	a	H_PL16	17.33029549	184.1688828	351.6450099056112	42.643885785560364	1184.7130886471102	4581.53691135289
This study	7.1	298.1	44.3	73.4	7	n	100	Extrusive	Lava Flow	47.37	Basalt	Keweenaw Peninsula	-88.16	LT-T-Z	a	H_PL17	37.54070364	180.7951907	351.6450099056112	42.643885785560364	5308.920473398014	457.3295266019859
This study	8.2	290.1	27.3	55.3	7	n	100	Extrusive	Lava Flow	47.43	Basalt	Keweenaw Peninsula	-88.04	LT-T-Z	a	H_PL20	24.1504115	177.1812456	351.6450099056112	42.643885785560364	1566.454467496676	4199.795532503324
This study	3.8	285.4	36.1	258.8	7	n	100	Extrusive	Lava Flow	47.41	Basalt	Keweenaw Peninsula	-88.18	LT-T-Z	a	H_PL21	24.89967377	184.8623045	351.6450099056112	42.643885785560364	2167.5688239264678	3598.6811760735322
This study	7.3	299.2	37.6	111.4	5	n	100	Extrusive	Lava Flow	47.41	Basalt	Keweenaw Peninsula	-87.71	LT-T-Z	a	H_PL22	34.93545726	175.8463829	351.6450099056112	42.643885785560364	652.4080509342364	5113.841949065763
This study	5.5	290.5	27.4	88.9	9	n	100	Extrusive	Lava Flow	47.45	Basalt	Keweenaw Peninsula	-87.87	LT-T-Z	a	H_PL23	24.46090081	177.0825224	351.6450099056112	42.643885785560364	403.1577803725308	5363.09221962747
