tab 	sites																		
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	height	site_alternatives	vgp_lat	vgp_lon
This study	291	37.2	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30192209	Basalt	Keweenaw Peninsula:Michigan	-88.39850373	LT-AF-Z	a	PL33	3286.252087	Greenstone Flow	29.20815858	181.2325482
This study	286.8	21	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.27345896	Basalt	Keweenaw Peninsula:Michigan	-88.41489345	LT-AF-Z	a	PL330	2599.850312		19.33305326	176.6835764
This study	283.3	35.3	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2807152	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL331	2820.108821		23.09785206	185.7672225
This study	281.8	28.8	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29269809	Basalt	Keweenaw Peninsula:Michigan	-88.42945971	LT-AF-Z	a	PL333	3962.214294		19.17795371	183.6865311
This study	296.1	33.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30666996	Basalt	Keweenaw Peninsula:Michigan	-88.35529607	LT-AF-Z	a	PL335	2207.783363	Kearsarge Flow	31.03063497	175.4645159
This study	286.9	19.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.40141725	Basalt	Keweenaw Peninsula:Michigan	-88.29028784	LT-AF-Z	a	PL338	3824.352693	Ashbed Flow	18.86901531	176.1691229
This study	294.6	29.8	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.4115906	Basalt	Keweenaw Peninsula:Michigan	-88.2541964	LT-AF-Z	a	PL339	3824.352693	Ashbed Flow	28.26176137	174.6801764
This study	293.7	39.1	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30151085	Basalt	Keweenaw Peninsula:Michigan	-88.39830222	LT-AF-Z	a	PL34	3271.308957	Greenstone Flow	31.95069833	180.3598401
This study	284.8	27.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.43256329	Basalt	Keweenaw Peninsula:Michigan	-88.14170193	LT-AF-Z	a	PL340	3824.352693	Ashbed Flow	20.82557043	181.3220998
This study	287.9	34.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.39916551	Basalt	Keweenaw Peninsula:Michigan	-88.04722879	LT-AF-Z	a	PL341	1525.633888	Scales Creek Flow	26.03150204	182.5464275
This study	284.5	36.8	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.44393649	Basalt	Keweenaw Peninsula:Michigan	-87.94004327	LT-AF-Z	a	PL342	3824.352693	Ashbed Flow	24.6245158	186.1093868
This study	285.7	37.1	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2564059	Basalt	Keweenaw Peninsula:Michigan	-88.39557021	LT-AF-Z	a	PL343	984.0756373	Copper City Flow	25.56584401	185.0478687
This study	294.7	38.2	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.35741186	Basalt	Keweenaw Peninsula:Michigan	-88.4218405	LT-AF-Z	a	PL344	2755.751762		32.19117618	179.004237
This study	281.2	38.3	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42525411	Basalt	Keweenaw Peninsula:Michigan	-88.11022983	LT-AF-Z	a	PL345	3286.252087	Greenstone Flow	23.12184352	189.1011152
This study	288.7	30.9	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42826978	Basalt	Keweenaw Peninsula:Michigan	-88.11766375	LT-AF-Z	a	PL346	3286.252087	Greenstone Flow	24.76622665	179.8467056
This study	301	33.4	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42936639	Basalt	Keweenaw Peninsula:Michigan	-88.11968384	LT-AF-Z	a	PL347	3286.252087	Greenstone Flow	34.15900961	171.5487014
This study	315.6	33.6	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42936639	Basalt	Keweenaw Peninsula:Michigan	-88.12635013	LT-AF-Z	a	PL348	3286.252087	Greenstone Flow	43.6984393	158.5657671
This study	274.6	49.1	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.3975791	Basalt	Keweenaw Peninsula:Michigan	-88.27958729	LT-AF-Z	a	PL349	3286.252087	Greenstone Flow	24.5184847	200.1258647
This study	264.9	45.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29195572	Basalt	Keweenaw Peninsula:Michigan	-88.40984762	LT-AF-Z	a	PL35	3244.479313		16.28714602	204.043843
This study	261	43.2	6	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28811749	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL4	3227.159003		12.48818304	205.2789886
This study	326.7	19.5	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.38483976	Basalt	Keweenaw Peninsula:Michigan	-88.01716803	LT-AF-Z	a	PL42	3111.859784		43.27800355	139.9332116
This study	293.7	38.1	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29160146	Basalt	Keweenaw Peninsula:Michigan	-88.42764661	LT-AF-Z	a	PL43	3824.352693	Ashbed Flow	31.46832908	179.7306788
This study	287.9	29.6	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28246441	Basalt	Keweenaw Peninsula:Michigan	-88.4469834	LT-AF-Z	a	PL44	4223.319354		23.6605352	179.5591134
This study	290.1	27.5	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.20875577	Basalt	Keweenaw Peninsula:Michigan	-88.43443316	LT-AF-Z	a	PL49	3945.174705		24.25361288	176.9768944
This study	280.8	49.7	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29181864	Basalt	Keweenaw Peninsula:Michigan	-88.40994835	LT-AF-Z	a	PL5	3215.61213		28.8607048	196.5354469
This study	284.2	19.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26585103	Basalt	Keweenaw Peninsula:Michigan	-88.41569905	LT-AF-Z	a	PL50	2916.66932	Iroquois Flow	17.13489983	178.1983954
This study	290.9	24.8	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28373095	Basalt	Keweenaw Peninsula:Michigan	-88.40551631	LT-AF-Z	a	PL51	2670.764512	Osceola Flow	23.65177545	175.1587292
This study	287.4	32.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26786732	Basalt	Keweenaw Peninsula:Michigan	-88.41888577	LT-AF-Z	a	PL52	2545.077241		24.77997804	181.5713987
This study	300.8	24.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26731901	Basalt	Keweenaw Peninsula:Michigan	-88.41727456	LT-AF-Z	a	PL53	2418.096804		30.17262227	167.1684944
This study	285.6	32	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26777014	Basalt	Keweenaw Peninsula:Michigan	-88.41086543	LT-AF-Z	a	PL54	2201.583447	Kearsarge Flow	23.15559744	182.4503982
This study	291.1	48.8	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26639935	Basalt	Keweenaw Peninsula:Michigan	-88.41005982	LT-AF-Z	a	PL55	2153.4451		35.19882559	189.1095289
